Lp.,Nazwa Podmiotu,Dyscyplina,Kategoria naukowa
92,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie,sztuki filmowe i teatralne,A+
93,Akademia Techniczno-Humanistyczna w Bielsku-Białej,"informatyka techniczna itelekomunikacja",B
94,Akademia Techniczno-Humanistyczna w Bielsku-Białej,inżynieria lądowa i transport,B
95,Akademia Techniczno-Humanistyczna w Bielsku-Białej,inżynieria materiałowa,B+
96,Akademia Techniczno-Humanistyczna w Bielsku-Białej,inżynieria mechaniczna,B+
97,Akademia Techniczno-Humanistyczna w Bielsku-Białej,"inżynieria środowiska, górnictwo ienergetyka",B
98,Akademia Techniczno-Humanistyczna w Bielsku-Białej,językoznawstwo,A
99,Akademia Techniczno-Humanistyczna w Bielsku-Białej,literaturoznawstwo,B+
100,Akademia Techniczno-Humanistyczna w Bielsku-Białej,nauki o zarządzaniu i jakości,B+
101,Akademia Techniczno-Humanistyczna w Bielsku-Białej,nauki o zdrowiu,B
102,Akademia Techniczno-Humanistyczna w Bielsku-Białej,pedagogika,B
103,"Akademia Wojsk Lądowych imienia generała TadeuszaKościuszki",nauki o bezpieczeństwie,B+
104,"Akademia Wojsk Lądowych imienia generała TadeuszaKościuszki",nauki o zarządzaniu i jakości,B+
105,Akademia WSB,inżynieria lądowa i transport,B+
106,Akademia WSB,nauki o bezpieczeństwie,B+
107,Akademia WSB,nauki o zarządzaniu i jakości,A
108,Akademia WSB,pedagogika,A
109,"Akademia Wychowania Fizycznego i Sportu im. JędrzejaŚniadeckiego w Gdańsku",nauki o kulturze fizycznej,B+
110,"Akademia Wychowania Fizycznego im. Bronisława Czecha wKrakowie",nauki o kulturze fizycznej,B+
111,"Akademia Wychowania Fizycznego im. EugeniuszaPiaseckiego w Poznaniu",nauki o kulturze fizycznej,A
112,"Akademia Wychowania Fizycznego im. Jerzego Kukuczki wKatowicach",nauki o kulturze fizycznej,A+
113,"Akademia Wychowania Fizycznego Józefa Piłsudskiego wWarszawie",nauki o kulturze fizycznej,B+
114,Akademia Wychowania Fizycznego we Wrocławiu,nauki o kulturze fizycznej,A
115,Ateneum – Akademia Nauk Stosowanych,językoznawstwo,B
116,Ateneum – Akademia Nauk Stosowanych,pedagogika,B+
117,Centralne Laboratorium Ochrony Radiologicznej,nauki o Ziemi i środowisku,C
118,"Centralny Instytut Ochrony Pracy - Państwowy InstytutBadawczy","inżynieria środowiska, górnictwo ienergetyka",A
119,"Centrum Astronomiczne im. Mikołaja Kopernika PolskiejAkademii Nauk",astronomia,A+
120,Centrum Badań i Innowacji Pro-Akademia,"inżynieria środowiska, górnictwo ienergetyka",B+
Lp.,Nazwa Podmiotu,Dyscyplina,Kategoria naukowa
122,Centrum Badań Kosmicznych Polskiej Akademii Nauk,astronomia,B
123,Centrum Badań Kosmicznych Polskiej Akademii Nauk,"automatyka, elektronika ielektrotechnika",B+
124,Centrum Badań Kosmicznych Polskiej Akademii Nauk,nauki o Ziemi i środowisku,B+
125,"Centrum Badań Molekularnych i Makromolekularnych PolskiejAkademii Nauk",nauki chemiczne,B+
126,Centrum Fizyki Teoretycznej Polskiej Akademii Nauk,nauki fizyczne,A
127,"Centrum Materiałów Polimerowych i Węglowych PolskiejAkademii Nauk",nauki chemiczne,B+
128,Centrum Medyczne Kształcenia Podyplomowego w Warszawie,nauki medyczne,B+
129,Centrum Medyczne Kształcenia Podyplomowego w Warszawie,nauki o zdrowiu,A
130,"Centrum Naukowo-Badawcze Ochrony Przeciwpożarowej im.Józefa Tuliszkowskiego - Państwowy Instytut Badawczy","inżynieria środowiska, górnictwo ienergetyka",B+
131,Centrum Techniki Okrętowej S.A. Zakład Badawczo-Rozwojowy,inżynieria mechaniczna,B
132,Chrześcijańska Akademia Teologiczna w Warszawie,nauki teologiczne,A
133,Chrześcijańska Akademia Teologiczna w Warszawie,pedagogika,B+
134,Collegium Civitas w Warszawie,nauki o polityce i administracji,B+
135,Collegium Civitas w Warszawie,nauki socjologiczne,B+
136,"Dolnośląskie Centrum Onkologii, Pulmonologii i Hematologii",nauki medyczne,C
137,"Europejskie Regionalne Centrum Ekohydrologii PolskiejAkademii Nauk",nauki biologiczne,A
138,Federacja Akademii Wojskowych,"automatyka, elektronika ielektrotechnika",A
139,Federacja Akademii Wojskowych,inżynieria lądowa i transport,B+
140,Federacja Akademii Wojskowych,inżynieria mechaniczna,B+
141,Federacja Akademii Wojskowych,nauki o bezpieczeństwie,A+
142,Federacja Akademii Wojskowych,pedagogika,A
143,Federacja Naukowa WSB-DSW,ekonomia i finanse,A
144,Federacja Naukowa WSB-DSW,językoznawstwo,A
145,Federacja Naukowa WSB-DSW,nauki o bezpieczeństwie,B
146,Federacja Naukowa WSB-DSW,"nauki o komunikacji społecznej imediach",A
147,Federacja Naukowa WSB-DSW,nauki o kulturze fizycznej,B+
148,Federacja Naukowa WSB-DSW,nauki o zarządzaniu i jakości,A
149,Federacja Naukowa WSB-DSW,pedagogika,A
150,Fundacja Badań i Rozwoju Nauki,nauki medyczne,B
151,Gdański Uniwersytet Medyczny,nauki farmaceutyczne,A
Lp.,Nazwa Podmiotu,Dyscyplina,Kategoria naukowa
153,Gdański Uniwersytet Medyczny,nauki o zdrowiu,B+
154,Główny Instytut Górnictwa,"inżynieria środowiska, górnictwo ienergetyka",A
155,"Górnośląska Wyższa Szkoła Handlowa im. WojciechaKorfantego w Katowicach",nauki o zarządzaniu i jakości,B
156,"Instytut ""Centrum Zdrowia Matki Polki""",nauki medyczne,A
157,"Instytut ""Pomnik - Centrum Zdrowia Dziecka""",nauki medyczne,A
158,"Instytut Agrofizyki im. Bohdana Dobrzańskiego PolskiejAkademii Nauk",rolnictwo i ogrodnictwo,A+
